id,Total
060871001001,379
060871001002,543
060871002001,244
060871002002,319
060871002003,539
060871002004,355
060871002005,649
060871002006,379
060871002007,243
060871003001,560
060871003002,668
060871004001,456
060871005001,461
060871005002,944
060871005003,784
060871006001,569
060871006002,412
060871006003,332
060871007001,458
060871007002,557
060871008001,531
060871008002,268
060871008003,142
060871008004,986
060871008005,471
060871008006,309
060871008007,537
060871009001,464
060871009002,754
060871009003,205
060871009004,425
060871009005,388
060871010001,924
060871010002,307
060871010003,354
060871010004,342
060871010005,246
060871010006,865
060871010007,652
060871011001,145
060871011002,443
060871011003,298
060871011004,84
060871011005,213
060871011006,659
060871011007,559
060871012001,461
060871012002,336
060871012003,536
060871101001,508
060871101002,372
060871101003,602
060871101004,1143
060871102001,971
060871102002,509
060871102003,387
060871102004,433
060871103001,339
060871103002,525
060871103003,442
060871103004,580
060871104001,1580
060871104002,432
060871105011,679
060871105012,912
060871105013,499
060871105021,649
060871105022,639
060871105023,292
060871106001,556
060871106002,307
060871106003,815
060871106004,522
060871107001,425
060871107002,461
060871202001,1169
060871202002,494
060871203011,1448
060871203012,892
060871203021,306
060871203022,651
060871203023,240
060871204001,652
060871204002,508
060871204003,859
060871204004,549
060871205001,1484
060871205002,735
060871205003,667
060871206001,289
060871206002,456
060871206003,279
060871206004,949
060871207001,365
060871207002,691
060871207003,893
060871208001,1091
060871208002,773
060871208003,693
060871209001,93
060871209002,428
060871209003,985
060871209004,706
060871209005,1074
060871210001,776
060871210002,331
060871210003,422
060871211001,278
060871211002,917
060871212001,362
060871212002,410
060871212003,1332
060871212004,436
060871213001,800
060871213002,233
060871213003,369
060871213004,268
060871214011,356
060871214012,526
060871214021,811
060871214022,689
060871214031,1072
060871214032,326
060871215001,719
060871215002,1069
060871215003,468
060871215004,545
060871216001,574
060871216002,851
060871216003,1020
060871216004,713
060871217001,1055
060871217002,428
060871217003,630
060871217004,1102
060871218001,680
060871218002,862
060871218003,904
060871218004,286
060871220011,1476
060871220012,451
060871220021,797
060871220022,600
060871220031,685
060871220032,360
060871220033,945
060871220034,750
060871221001,1169
060871221002,669
060871222011,853
060871222012,1565
060871222013,822
060871222014,296
060871222021,894
060871222031,1072
060871222032,686
060871223001,907
060871223002,498
060871223003,863
060871224001,769
060871224002,861
060871224003,463
060871224004,334
060871224005,251
060871225001,515
060871225002,389
060871225003,437
060871231001,780
060871233001,456
